Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.625,1.093,0.224,1,14.065,8.435,31.8,316.0,1674.5,14541.35,89.62,2731.55,88.97,1735.10,48.08,44.20,1707.1,0.280000001,10,0.899999976,650,0.259999991,0.2431,0.2723,2.0631,0.9760,1.0871
8.675,1.111,0.227,2,14.064,8.439,31.7,319.5,1693.1,14542.40,89.60,2436.25,88.98,1733.65,48.22,44.28,1689.7,0.280000001,10,0.899999976,650,0.259999991,0.2445,0.2730,2.0631,0.9760,1.0871
8.700,1.117,0.228,3,14.055,8.424,33.9,324.8,1721.4,14549.50,89.57,2283.55,88.91,1778.90,48.31,44.30,1656.1,0.280000001,10,0.899999976,650,0.259999991,0.2445,0.2701,2.0631,0.9760,1.0871
8.660,1.103,0.226,4,14.055,8.423,29.9,322.2,1707.7,14544.00,89.62,2702.10,88.96,1747.05,48.07,44.19,1701.1,0.280000001,10,0.899999976,650,0.259999991,0.2440,0.2717,2.0631,0.9760,1.0871
8.575,1.094,0.224,1,14.074,8.444,31.3,388.9,2061.2,14603.35,89.56,1722.30,89.42,1631.80,48.19,44.52,1672.3,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2441,0.2721,2.0663,0.9787,1.0876
8.636,1.110,0.228,2,14.072,8.440,32.8,398.9,2114.2,14613.30,89.56,1711.20,89.43,1632.65,48.19,44.57,1660.9,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2453,0.2730,2.0663,0.9787,1.0876
8.694,1.115,0.229,3,14.066,8.447,29.7,372.4,1973.7,14586.80,89.56,1726.55,89.43,1629.15,48.18,44.51,1677.2,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2453,0.2705,2.0663,0.9787,1.0876
8.630,1.106,0.226,4,14.069,8.448,34.1,429.9,2278.2,14646.05,89.57,1707.55,89.42,1634.80,48.19,44.58,1654.0,0.289999992,10.30000019,0.849999964,625,0.269999981,0.2440,0.2720,2.0663,0.9787,1.0876
8.576,1.101,0.229,1,14.062,8.445,31.3,312.1,1653.9,14538.60,89.56,1719.25,89.10,1680.50,48.00,44.31,1604.5,0.280000001,10.59999943,0.799999952,625,0.259999991,0.2433,0.2734,2.0680,0.9745,1.0936
8.632,1.112,0.231,2,14.053,8.418,30.8,307.1,1627.6,14533.45,89.56,1721.40,89.10,1677.50,47.99,44.31,1609.6,0.280000001,10.59999943,0.799999952,625,0.259999991,0.2445,0.2750,2.0680,0.9745,1.0936
8.634,1.112,0.231,3,14.056,8.444,32.8,314.9,1668.7,14541.55,89.56,1712.55,89.07,1690.40,47.95,44.29,1616.9,0.280000001,10.59999943,0.799999952,625,0.259999991,0.2444,0.2733,2.0680,0.9745,1.0936
8.664,1.113,0.230,4,14.050,8.437,30.6,310.1,1643.5,14536.85,89.55,1703.10,89.07,1696.35,47.95,44.33,1606.0,0.280000001,10.59999943,0.799999952,625,0.259999991,0.2423,0.2719,2.0680,0.9745,1.0936
